neighborhood_name,centroid_lat,centroid_lon,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic
11,43.64605146434,-79.60788427361801,10,2,125,17,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,43.72957091602591,-79.62581455299788,20,2,253,12,5,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43.73755880223361,-79.62908982622348,20,2,240,11,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43.74641433959391,-79.632625549526,15,2,210,8,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43.750802457946,-79.63538108296189,11,1,185,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,43.64460056114171,-79.59936173939217,14,2,163,21,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,43.64861855508367,-79.60207438566168,14,2,152,21,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,43.70269742458095,-79.61011466275696,13,3,255,9,6,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43.7099987724922,-79.61308015420414,14,3,298,9,6,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43.71910925489004,-79.61664758694069,19,3,321,12,7,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43.72836091684939,-79.61981499838699,22,3,290,14,8,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,43.73805876277702,-79.621959495877,22,2,266,15,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43.74784023878434,-79.62403861278514,20,2,242,12,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
