metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Alexandra Park,Jan-21,43.65114655,-79.40510438,53,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-01-01
Allan Gardens,Jan-21,43.66093307,-79.3735941,12,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-01-01
Bellevue Square Park,Jan-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-01-01
Caledonia Park,Jan-21,43.71337581,-79.46549418,4,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-01-01
Cherry Beach Clarke Beach Park,Jan-21,43.63692099,-79.3443083,24,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-01-01
Clarence Square Park,Jan-21,43.64418139,-79.39371522,6,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-01-01
Dufferin Grove Park,Jan-21,43.65699352,-79.4336308,2,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-01-01
G. Ross Lord Park,Jan-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-01-01
Garrison Common,Jan-21,43.63806493,-79.40717673,2,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-01-01
Grange Park,Jan-21,43.65261301,-79.39221132,2,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-01-01
Kings Mill Park,Jan-21,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-01-01
Lakeshore Boulevard Parklands,Jan-21,43.63395209,-79.43869438,4,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-01-01
Lamport Stadium Park,Jan-21,43.63977468,-79.42245532,32,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-01-01
Lower Don Parklands,Jan-21,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-01-01
Morningside Park,Jan-21,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-01-01
