count,lat,lon,metadata,start_timestamp
53,43.65114655,-79.40510438,Alexandra Park,Jan-21
12,43.66093307,-79.3735941,Allan Gardens,Jan-21
0,43.65371478,-79.40192832,Bellevue Square Park,Jan-21
4,43.71337581,-79.46549418,Caledonia Park,Jan-21
24,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Jan-21
6,43.64418139,-79.39371522,Clarence Square Park,Jan-21
2,43.65699352,-79.4336308,Dufferin Grove Park,Jan-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Jan-21
2,43.63806493,-79.40717673,Garrison Common,Jan-21
2,43.65261301,-79.39221132,Grange Park,Jan-21
3,43.65135346,-79.49062927,Kings Mill Park,Jan-21
4,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Jan-21
32,43.63977468,-79.42245532,Lamport Stadium Park,Jan-21
7,43.69741478,-79.35386848,Lower Don Parklands,Jan-21
0,43.78090037,-79.19730417,Morningside Park,Jan-21
26,43.65558614,-79.37043073,Moss Park,Jan-21
7,43.68179447,-79.4101068,Nordheimer Ravine,Jan-21
7,43.65465987,-79.3627258,Orphan's Green,Jan-21
8,43.64235304,-79.42916125,Parkdale Ampitheatre,Jan-21
0,43.6497993,-79.40084238,Randy Padmore Park,Jan-21
14,43.67272549,-79.37625428,Rosedale Ravine Lands,Jan-21
0,43.65602246,-79.40202754,Sonya's Park,Jan-21
0,43.6512055,-79.32159,Tommy Thompson Park,Jan-21
52,43.64592207,-79.41417386,Trinity Bellwoods Park,Jan-21
13,43.65472242,-79.38160967,Trinity Square,Jan-21
58,43.65114655,-79.40510438,Alexandra Park,Feb-21
12,43.66093307,-79.3735941,Allan Gardens,Feb-21
0,43.65371478,-79.40192832,Bellevue Square Park,Feb-21
3,43.71337581,-79.46549418,Caledonia Park,Feb-21
21,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Feb-21
4,43.64418139,-79.39371522,Clarence Square Park,Feb-21
0,43.65699352,-79.4336308,Dufferin Grove Park,Feb-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Feb-21
1,43.63806493,-79.40717673,Garrison Common,Feb-21
1,43.65261301,-79.39221132,Grange Park,Feb-21
3,43.65135346,-79.49062927,Kings Mill Park,Feb-21
7,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Feb-21
32,43.63977468,-79.42245532,Lamport Stadium Park,Feb-21
7,43.69741478,-79.35386848,Lower Don Parklands,Feb-21
3,43.78090037,-79.19730417,Morningside Park,Feb-21
22,43.65558614,-79.37043073,Moss Park,Feb-21
