lat,lon,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,ADDRESS_LINE_1
43.6592604,-79.3994742,Mental Health and Addiction Organization,Mental Health Services,Centre For Addiction And Mental Health (CAMH),250 College Street
43.6520644,-79.378963,Pharmacy,Retail Pharmacy,Rexall #8161,159 Yonge Street
43.6684672,-79.3718669,Pharmacy,Retail Pharmacy,St James Drug Mart,118-240 Wellesley Street East
43.7685728,-79.3872003,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1019,2877 Bayview Avenue
43.8032064,-79.189041,Pharmacy,Long Term Care Facility,Extendicare/Rouge Valley,551 Conlins Avenue
43.670479,-79.4930632,Pharmacy,Retail Pharmacy,White's Pharmacy,725 Jane Street
43.7862956,-79.4694819,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #819,1881 Steeles Avenue West
43.7140201,-79.3340642,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1516,747 Don Mills Road Unit 12
43.7719867,-79.4473019,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,North York General Hospital,555 Finch Avenue West
43.7305354,-79.4336674,Mental Health and Addiction Organization,Mental Health Services,Baycrest Hospital,3560 Bathurst Street
43.6982606,-79.4702663,Pharmacy,Long Term Care Facility,Harold & Grace Baker Centre,1 Northwestern Avenue
43.6969404,-79.3958375,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,1849 Yonge Street
43.655741,-79.4564844,Pharmacy,Retail Pharmacy,Mednow Pharmacy,5-1640 Bloor Street West
43.6419103,-79.3735951,Pharmacy,Retail Pharmacy,Harbourfront Medicine Cabinet,102-15 Queens Quay East
43.6521758,-79.4708564,Pharmacy,Retail Pharmacy,Mortar + Pestle,1997 Bloor Street West
43.649696,-79.4403973,Pharmacy,Retail Pharmacy,Drug Store Pharmacy #4222,222 Lansdowne Avenue
43.7034163,-79.4128428,Integrated Community Health Services Centre,"Fluoroscopy, Radiography, General Ultrasound",Forest Hill Medical Imaging,491 Eglinton Avenue West
43.6716163,-79.3829806,Integrated Community Health Services Centre,General Ultrasound,True North Imaging,160 Bloor Street East
43.6525757,-79.3778933,Integrated Community Health Services Centre,"General Ultrasound, Vascular Ultrasound",Metro Central Ultrasound,27 Queen Street East
43.6541622,-79.3695636,Mental Health and Addiction Organization,Addiction Services,South Riverdale Community Health Centre,134 Sherbourne Street
43.7535542,-79.2343592,Community Support Service,,Participation House - Toronto Parent Association,1 Burnview Crescent
43.702541,-79.3515738,Pharmacy,Retail Pharmacy,Shifa Pharmacy,4-1 Leaside Park Drive
43.6619216,-79.3507808,Mental Health and Addiction Organization,Mental Health Services,Margaret's Housing And Community Support Services,221 Broadview Avenue
43.7081678,-79.3895666,Pharmacy,Retail Pharmacy,Mount Pleasant Pharmacy,245 Eglinton Avenue East
43.6555551,-79.3889685,Community Support Service,,University Of Toronto,"500 University Avenue, Room 650"
43.8060997,-79.2205549,Community Health Centre,Main,Taibu Community Health Centre,27 Tapscott Road
