location,type,lat,lon
Adams Park,Washroom Building,43.79217932,-79.1468689
Colonel Danforth Park,Washroom Building,43.77715782,-79.16492968
Topham Park,Washroom Building,43.71078337,-79.30690823
Jonathan Ashbridge Park,Washroom Building,43.66464356,-79.31972975
Morningside Park,Washroom Building,43.77906343,-79.19396006
Bickford Park,Washroom Building,43.66036425,-79.41804098
Taylor Creek Park,Washroom Building,43.69664426,-79.29838937
Eglinton Flats,Washroom Building,43.68420772,-79.49478825
Ethennonnhawahstihnen Park,Washroom Building,43.76769409,-79.37203598
Greenwood Park,Washroom Building,43.66944053,-79.32868027
Riverdale Park East,Washroom Building,43.66772754,-79.35550582
Cherry Beach Clarke Beach Park,Washroom Building,43.6368796,-79.34429281
Campbell Avenue Park,Washroom Building,43.66293404,-79.44851599
Stanley Greene Park,Washroom Building,43.73416818,-79.47745152
Centennial Park - Etobicoke,Washroom Building,43.65379367,-79.58536071
Centennial Park - Etobicoke,Washroom Building,43.6534078,-79.58515831
Centennial Park - Etobicoke,Washroom Building,43.65337048,-79.58513567
Grange Park,Washroom Building,43.65266026,-79.39136899
Glamorgan Park,Washroom Building,43.77259489,-79.28808876
Baird Park,Washroom Building,43.66223126,-79.46254137
Earlscourt Park,Washroom Building,43.67414466,-79.45156528
Morningside Park,Washroom Building,43.77781526,-79.19720228
Marie Curtis Park,Washroom Building,43.5876958,-79.54305009
Serena Gundy Park,Washroom Building,43.71862545,-79.35703861
Dieppe Park,Washroom Building,43.69189094,-79.33471405
Silverbirch Boat House,Washroom Building,43.67032614,-79.28472318
Sunnybrook Park,Washroom Building,43.72292259,-79.36275387
Humber Bay Park West,Washroom Building,43.61953924,-79.48051239
Riverdale Park West,Washroom Building,43.66528558,-79.35943234
Amos Waites Park,Washroom Building,43.61301625,-79.48774024
Stan  Wadlow Park,Washroom Building,43.69836339,-79.31504027
Wanless Park,Washroom Building,43.72882539,-79.39187778
Thomson Memorial Park,Washroom Building,43.75759412,-79.25523249
Thomson Memorial Park,Washroom Building,43.75907419,-79.25506083
Leslie Grove Park,Washroom Building,43.66268457,-79.33365154
Riverdale Park East,Washroom Building,43.67251825,-79.35701774
Prairie Drive Park,Washroom Building,43.69721943,-79.28394728
Little Norway Park,Washroom Building,43.63404546,-79.39838792
Wells Hill Park,Washroom Building,43.6823371,-79.41634327
Cedarvale Park,Washroom Building,43.69127915,-79.43144289
Norwood Park,Washroom Building,43.68205163,-79.30277581
Bluffer's Park,Washroom Building,43.71303079,-79.22743337
Grange Park,Washroom Building,43.65255726,-79.39134764
Monarch Park,Washroom Building,43.67732839,-79.32568732
Toronto Islands - Ward's Island,Washroom Building,43.63125968,-79.35380865
Corktown Common,Washroom Building,43.65347379,-79.35232496
Blantyre Park,Washroom Building,43.68227904,-79.2811334
Wexford Park,Washroom Building,43.73367211,-79.29718319
Clydesdale Park,Washroom Building,43.7833757,-79.32943266
Otter Creek Centre,Washroom Building,43.72128737,-79.40950824
Viewmount Park,Washroom Building,43.70748851,-79.43721163
Maryvale Park Outdoor Pool,Washroom Building,43.75309076,-79.30654676
Trinity Bellwoods Park,Washroom Building,43.64953473,-79.41368713
West Deane Park,Portable Toilet,43.66128931,-79.55829915
Centennial Park - Etobicoke,Washroom Building,43.64894737,-79.58701686
Centennial Park - Etobicoke,Portable Toilet,43.64865327,-79.58714178
Centennial Park - Etobicoke,Portable Toilet,43.65180796,-79.59191209
Centennial Park - Etobicoke,Washroom Building,43.65204841,-79.59015171
MacGregor Playground,Washroom Building,43.65312321,-79.44180549
Port Union Village Common Park,Washroom Building,43.77672534,-79.1347736
Downsview Dells Park,Washroom Building,43.73542591,-79.49599924
Downsview Dells Park,Washroom Building,43.73662343,-79.50093668
Elie Wiesel Park,Washroom Building,43.74605651,-79.43774264
Greenwood Park,Washroom Building,43.6694859,-79.32971394
Withrow Park,Washroom Building,43.67471828,-79.3464167
Oriole Park - Toronto,Washroom Building,43.69716654,-79.39947899
High Park,Washroom Building,43.64510606,-79.466897
High Park,Washroom Building,43.64366457,-79.46699992
Felstead Avenue Playground,Washroom Building,43.68024586,-79.32999889
June Rowlands Park,Washroom Building,43.70028667,-79.38818857
Jack Goodlad Community Centre,Washroom Building,43.74229861,-79.27101245
