_id,has_wifi,public_name,address,lat,lon
1,Y,Albion Arena,1501 ALBION RD,43.71320613,-79.32759853
2,Y,Angela James Arena,165 GRENOBLE DR,43.72891943,-79.44313202
3,Y,Baycrest Arena,160 NEPTUNE DR,43.78794701,-79.39372884
4,Y,Bayview Arena,3230 BAYVIEW AVE,43.65692438,-79.58633031
5,Y,Centennial Park Arena,156 CENTENNIAL PARK RD,43.68772001,-79.47887044
6,Y,Chris Tonks Arena,95 BLACK CREEK DR,43.73303175,-79.34374814
7,Y,Don Mills Civitan Arena,1030 DON MILLS RD,43.71983481,-79.51277057
8,Y,Downsview Arena,1633 WILSON AVE,43.69743138,-79.31529343
9,Y,East York Memorial Arena,888 COSBURN AVE,43.76384469,-79.32682729
10,Y,Fenside Arena,30 SLIDELL CRES,43.74701882,-79.54024286
11,Y,Habitant Arena,3383 WESTON RD,43.77336529,-79.45005526
12,Y,Herbert H. Carnegie Centennial Centre,580 FINCH AVE W,43.7697088,-79.52419208
13,Y,John Booth Memorial Arena,230 GOSFORD BLVD,43.66344691,-79.50536856
14,Y,Lambton Arena,4100 DUNDAS ST W,43.59178763,-79.52783647
15,Y,Long Branch Arena,75 ARCADIAN CIRCLE,43.61240189,-79.49883236
16,Y,Mimico Arena,31 DRUMMOND ST,43.72309856,-79.3157934
18,Y,Victoria Village Arena,190 BERMONDSEY RD,43.74760688,-79.38351175
19,Y,York Mills Arena,2539 BAYVIEW AVE,43.78701138,-79.33670807
20,Y,Pleasant View Community Centre,545 VAN HORNE AVE,43.69129182,-79.43261249
21,Y,Phil White Arena,443 ARLINGTON AVE,43.78841444,-79.27629313
22,Y,Agincourt Recreation Centre,31 GLEN WATFORD DR,43.79504781,-79.26781763
24,Y,Commander Recreation Centre,140 COMMANDER BLVD,43.80010377,-79.37126221
25,Y,Cummer Park Community Centre,6000 LESLIE ST,43.73266262,-79.26166457
26,Y,Don Montgomery Community Recreation Centre,2467 EGLINTON AVE E,43.73999132,-79.21675812
27,Y,Scarborough Village Recreation Centre,3600 KINGSTON RD,43.74743703,-79.56654537
28,Y,Gord And Irene Risk Community Centre,2650 FINCH AVE W,43.79091189,-79.4221433
29,Y,Goulding Community Centre,45 GOULDING AVE,43.75175315,-79.48971561
30,Y,Grandravine Community Recreation Centre,23 GRANDRAVINE DR,43.76885561,-79.17693835
31,Y,Heron Park Community Recreation Centre,292 MANSE RD,43.74762859,-79.280149
32,Y,McGregor Park Community Centre,2231 LAWRENCE AVE E,43.77464448,-79.40853711
33,Y,Mitchell Field Community Centre,89 CHURCH AVE,43.78180951,-79.35128096
34,Y,Oriole Community Centre,2975 DON MILLS RD W,43.72909203,-79.49250059
35,Y,Roding Community Centre,600 RODING ST,43.64846383,-79.52005497
36,Y,Central Arena,50 MONTGOMERY RD,43.59352657,-79.51536477
37,Y,Power House Recreation Centre,65 COLONEL SAMUEL SMITH PARK DR,43.74567142,-79.32275836
38,Y,Broadlands Community Centre,19 CASTLEGROVE BLVD,43.70862581,-79.45580228
39,Y,Glen Long Community Centre,35 GLEN LONG AVE,43.66044354,-79.34532987
40,Y,Jimmie Simpson Recreation Centre,870 QUEEN ST E,43.73929345,-79.58119369
41,Y,Albion Pool And Health Club,1485 ALBION RD,43.60190521,-79.54735577
42,Y,Alderwood Centre,2 ORIANNA DR,43.70717469,-79.48262258
43,Y,Amesbury Community Centre,1507 LAWRENCE AVE W,43.7325347,-79.46570005
44,Y,Ancaster Community Centre,41 ANCASTER RD,43.66120446,-79.47413909
45,Y,Annette Community Recreation Centre,333 ANNETTE ST,43.78115498,-79.44697656
46,Y,Antibes Community Centre,140 ANTIBES DR,43.73944583,-79.42191783
47,Y,Armour Heights Community Centre,2140 AVENUE RD,43.72079393,-79.43220781
48,Y,Barbara Frum Community Centre,20 COVINGTON RD,43.67393102,-79.29880706
49,Y,Beaches Recreation Centre,6 WILLIAMSON RD,43.69563261,-79.26311121
50,Y,Birchmount Community Centre,93 BIRCHMOUNT RD,43.76823201,-79.2638892
51,Y,Birkdale Community Centre,1299 ELLESMERE RD,43.66292032,-79.42067836
52,Y,Bob Abate Community Recreation Centre,485 MONTROSE AVE,43.794056,-79.23437022
53,Y,Burrows Hall Community Centre,1081 PROGRESS AVE,43.63984272,-79.39465287
54,Y,Canoe Landing Community Centre,45 FORT YORK BLVD,43.7556539,-79.22741965
56,Y,Cedarbrook Community Centre,91 EASTPARK BLVD,43.72404844,-79.51181503
57,Y,Chalkfarm Community Centre,180 CHALKFARM DR,43.71794068,-79.33168736
58,Y,Dennis R. Timbrell Resource Centre,29 ST DENNIS DR,43.76726788,-79.41488874
59,Y,Douglas Snow Aquatic Centre,5100 YONGE ST,43.69178398,-79.34927045
60,Y,East York Community Centre,1081 1/2 PAPE AVE,43.77699365,-79.42653928
61,Y,Edithvale Community Centre,131 FINCH AVE W,43.7609784,-79.29860992
62,Y,Ellesmere Community Centre,20 CANADIAN RD,43.73480001,-79.58870603
63,Y,Elmbank Community Centre,10 RAMPART RD,43.65045019,-79.58410502
64,Y,Etobicoke Olympium,590 RATHBURN RD,43.69128156,-79.44799666
65,Y,Fairbank Memorial Community Recreation Centre,2213 DUFFERIN ST,43.63967803,-79.5193118
66,Y,Fairfield Seniors' Centre,80 LOTHIAN AVE,43.71672164,-79.50383871
67,Y,Falstaff Community Centre,50 FALSTAFF AVE,43.71353072,-79.32660348
68,Y,Flemingdon Community Centre And Playground Paradise,150 GRENOBLE DR,43.60114448,-79.52210813
70,Y,Gus Ryder Pool And Health Club,1 FAUSTINA DR,43.67919735,-79.41649547
71,Y,Hillcrest Community Centre,1339 BATHURST ST,43.70294741,-79.34273683
73,Y,Jenner Jean-Marie Community Centre,48 THORNCLIFFE PARK DR,43.65538755,-79.37039697
74,Y,John Innes Community Recreation Centre,150 SHERBOURNE ST,43.67533079,-79.45139661
75,Y,Joseph J. Piccininni Community Centre,1369 ST CLAIR AVE W,43.65808486,-79.46217733
76,Y,Keele Community Centre,181 GLENLAKE AVE,43.59514135,-79.51653877
77,Y,Ken Cox Community Centre,28 COLONEL SAMUEL SMITH PARK DR,43.81265554,-79.30489472
78,Y,L'Amoreaux Community Recreation Centre,2000 MCNICOLL AVE,43.68734545,-79.30017786
79,Y,Main Square Community Centre,245 MAIN ST,43.64734406,-79.43344358
80,Y,Mary McCormick Recreation Centre,66 SHERIDAN AVE,43.64072471,-79.43323367
81,Y,Masaryk - Cowan Community Centre,220 COWAN AVE,43.66805367,-79.33939699
82,Y,Matty Eckler Recreation Centre,953 GERRARD ST E,43.64909671,-79.52011421
83,Y,Memorial Pool And Health Club,44 MONTGOMERY RD,43.82964787,-79.27458222
84,Y,Milliken Park Community Recreation Centre,4325 MCCOWAN RD,43.63430526,-79.51632975
85,Y,Norseman Community School And Pool,105 NORSEMAN ST,43.75176209,-79.58489255
86,Y,North Kipling Community Centre,2 ROWNTREE RD,43.69444113,-79.2839401
87,Y,Oakridge Community Recreation Centre,63 PHARMACY AVE,43.64353543,-79.37385702
88,Y,One Yonge Community Recreation Centre,24 FREELAND ST,43.61509689,-79.50825814
89,Y,Ourland Community Centre,18 OURLAND AVE,43.66076364,-79.36096074
90,Y,Pam McConnell Aquatic Centre,640 DUNDAS ST E,43.77253732,-79.34389437
92,Y,Parkway Forest Community Centre,55 FOREST MANOR RD,43.77966459,-79.14029125
93,Y,Port Union Community Recreation Centre,5450 LAWRENCE AVE E,43.65799362,-79.36174044
94,Y,Regent Park Community Centre,402 SHUTER ST,43.6659498,-79.32283844
95,Y,S.H. Armstrong Community Centre,56 WOODFIELD RD,43.6917721,-79.30156807
96,Y,Secord Community Centre,91 BARRINGTON AVE,43.79388391,-79.35129154
97,Y,Seneca Village Community Centre,1700 FINCH AVE E,43.64979753,-79.36498012
98,Y,St. Lawrence Community Recreation Centre,230 THE ESPLANADE,43.69818004,-79.31508959
99,Y,Stan Wadlow Clubhouse,373 CEDARVALE AVE,43.78652835,-79.30235372
100,Y,Stephen Leacock Community Recreation Centre,2500 BIRCHMOUNT RD,43.78687182,-79.30247311
101,Y,Stephen Leacock Seniors' Community Centre,2520 BIRCHMOUNT RD,43.64410349,-79.47711554
102,Y,Swansea Community Recreation Centre,15 WALLER AVE,43.73547048,-79.56258034
103,Y,Thistletown Community Centre,925 ALBION RD,43.73547048,-79.56258034
104,Y,Thistletown Seniors' Centre,925 ALBION RD,43.70572567,-79.36717294
105,Y,Trace Manes Park Community Centre,110 RUMSEY RD,43.64643528,-79.41537391
106,Y,Trinity Community Recreation Centre,155 CRAWFORD ST,43.71490294,-79.28048868
107,Y,Warden Hilltop Community Centre,25 MENDELSSOHN ST,43.66779685,-79.3744794
108,Y,Wellesley Community Centre,495 SHERBOURNE ST,43.72527847,-79.57165683
109,Y,West Acres Senior Centre,65 HINTON RD,43.79209051,-79.12510451
110,Y,West Rouge Community Centre,270 ROUGE HILLS DR,43.69006906,-79.47698101
111,Y,The New Generation Youth Recreation Centre,2694 EGLINTON AVE W,43.77341009,-79.50233817
112,Y,Toronto Track And Field Centre,4700 KEELE ST,43.70717469,-79.48262258
113,Y,Amesbury Sports Complex,155 CULFORD RD,43.74244518,-79.51584394
114,Y,Domenico Diluca Community Centre,25 STANLEY RD,43.76545583,-79.51877898
115,Y,Driftwood Community Recreation Centre,4401 JANE ST,43.7179975,-79.44236268
116,Y,Lawrence Heights Community Centre,5 REPLIN RD,43.74552566,-79.49999333
117,Y,Northwood Community Centre,15 CLUBHOUSE CRT,43.74805962,-79.51274337
118,Y,Oakdale Community Centre,350 GRANDRAVINE DR,43.7176677,-79.3018562
119,Y,O'Connor Community Centre,1386 VICTORIA PARK AVE,43.70610583,-79.40462301
120,Y,North Toronto Memorial Community Centre,200 EGLINTON AVE W,43.67979193,-79.55422495
121,Y,St. Marcellus Community School,15 DENFIELD ST,43.7222273,-79.55211379
122,Y,The Elms Pool And Community School,45 GOLFDOWN DR,43.75258156,-79.43188245
123,Y,Earl Bales Community Centre,4169 BATHURST ST,43.78521906,-79.29341395
124,Y,Agincourt Public Library,155 BONIS AVE,43.70806479,-79.26935139
125,Y,Albert Campbell Public Library,496 BIRCHMOUNT RD,43.73986146,-79.58417152
126,Y,Albion Public Library,1515 ALBION RD,43.60190521,-79.54735577
127,Y,Alderwood Public Library,2 ORIANNA DR,43.70644648,-79.48575215
128,Y,Amesbury Park Public Library,1565 LAWRENCE AVE W,43.66331255,-79.46644435
129,Y,Annette Street Public Library,145 ANNETTE ST,43.73944583,-79.42191783
130,Y,Armour Heights Community Centre,2140 AVENUE RD,43.72079393,-79.43220781
